repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
5,100000,16,64,mixed,5000,80,4920,0,613.386,476.056,575.637,601.039,{}
6,100000,16,64,mixed,5000,80,4920,0,574.275,444.973,542.020,569.138,{}
7,100000,16,64,mixed,5000,80,4920,0,605.220,469.500,566.415,592.138,{}
8,100000,16,64,mixed,5000,80,4920,0,566.360,437.208,535.273,560.846,{}
9,100000,16,64,mixed,5000,80,4920,0,587.823,462.486,556.510,582.864,{}
10,100000,16,64,mixed,5000,80,4920,0,580.697,443.422,548.810,575.590,{}
1,100000,16,128,mixed,5000,144,4856,0,591.443,466.305,557.175,585.799,{}
2,100000,16,128,mixed,5000,144,4856,0,617.171,481.545,583.418,611.403,{}
3,100000,16,128,mixed,5000,144,4856,0,586.198,456.637,551.515,580.222,{}
4,100000,16,128,mixed,5000,144,4856,0,561.719,431.715,528.070,556.022,{}
5,100000,16,128,mixed,5000,144,4856,0,604.361,467.559,572.694,598.829,{}
6,100000,16,128,mixed,5000,144,4856,0,567.805,433.687,534.994,562.175,{}
7,100000,16,128,mixed,5000,144,4856,0,583.978,455.654,551.648,578.653,{}
8,100000,16,128,mixed,5000,144,4856,0,567.598,434.172,524.063,561.922,{}
9,100000,16,128,mixed,5000,144,4856,0,571.812,448.157,540.491,566.520,{}
10,100000,16,128,mixed,5000,144,4856,0,553.963,423.754,513.421,548.656,{}
1,100000,16,256,mixed,5000,272,4728,0,576.928,446.354,560.263,570.995,{}
2,100000,16,256,mixed,5000,272,4728,0,550.640,422.542,527.473,536.732,{}
3,100000,16,256,mixed,5000,272,4728,0,562.831,437.346,546.899,556.616,{}
4,100000,16,256,mixed,5000,272,4728,0,598.007,462.425,574.447,584.527,{}
5,100000,16,256,mixed,5000,272,4728,0,566.314,435.970,550.415,559.918,{}
6,100000,16,256,mixed,5000,272,4728,0,562.725,429.444,539.101,549.418,{}
7,100000,16,256,mixed,5000,272,4728,0,554.480,429.900,539.543,548.562,{}
8,100000,16,256,mixed,5000,272,4728,0,608.280,461.010,585.544,595.719,{}
9,100000,16,256,mixed,5000,272,4728,0,582.804,451.982,566.664,576.520,{}
10,100000,16,256,mixed,5000,272,4728,0,582.702,451.428,557.654,568.010,{}
1,100000,16,512,mixed,5000,528,4472,0,570.764,436.164,549.543,563.442,{}
2,100000,16,512,mixed,5000,528,4472,0,549.088,417.878,525.673,534.873,{}
3,100000,16,512,mixed,5000,528,4472,0,599.598,456.570,581.812,592.490,{}
4,100000,16,512,mixed,5000,528,4472,0,612.927,476.536,588.355,598.677,{}
5,100000,16,512,mixed,5000,528,4472,0,568.967,438.848,552.005,561.706,{}
6,100000,16,512,mixed,5000,528,4472,0,579.983,449.636,554.993,565.347,{}
7,100000,16,512,mixed,5000,528,4472,0,612.457,470.154,594.726,605.149,{}
8,100000,16,512,mixed,5000,528,4472,0,567.657,430.441,541.552,551.616,{}
9,100000,16,512,mixed,5000,528,4472,0,592.163,460.884,575.117,584.983,{}
10,100000,16,512,mixed,5000,528,4472,0,612.207,475.973,586.249,596.883,{}
